Title,Alternate Title,Description,URL
The Shawshank Redemption,Shoushenkdan qochish,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",https://www.imdb.com/title/tt0111161/
The Godfather,Cho&apos;qintirgan ota,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://www.imdb.com/title/tt0068646/
The Dark Knight,Qora ritsar,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://www.imdb.com/title/tt0468569/
The Godfather Part II,Cho&apos;qintirgan ota 2,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://www.imdb.com/title/tt0071562/
12 Angry Men,12 jahldor erkak,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Return of the King,Uzuklar hukmdori: Qirolning qaytishi,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.imdb.com/title/tt0167260/
Schindler&apos;s List,Shindler ro&apos;yxati,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://www.imdb.com/title/tt0108052/
Pulp Fiction,Jinoiy asar,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring,Uzuklar hukmdori: Uzukning ittifoqi,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://www.imdb.com/title/tt0120737/
"Il buono, il brutto, il cattivo","Yaxshi, yomon, badbashara",A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.imdb.com/title/tt0060196/
Forrest Gump,Forrest Gamp,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",https://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Two Towers,Uzuklar hukmdori: Ikki qal&apos;a,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",https://www.imdb.com/title/tt0167261/
Fight Club,Jang klubi,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://www.imdb.com/title/tt0137523/
Inception,Muqaddima,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",https://www.imdb.com/title/tt1375666/
Star Wars: Episode V - The Empire Strikes Back,Yulduzlar jangi: Epizod V - Saltanatning javob zarbasi,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",https://www.imdb.com/title/tt0080684/
The Matrix,Matritsa,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://www.imdb.com/title/tt0133093/
GoodFellas,Shonli yigitlar,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",https://www.imdb.com/title/tt0099685/
Interstellar,,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",https://www.imdb.com/title/tt0816692/
One Flew Over the Cuckoo&apos;s Nest,Kukuk uyasi ustidan uchib o&apos;tgan,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",https://www.imdb.com/title/tt0073486/
Se7en,Yetti,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://www.imdb.com/title/tt0114369/
It&apos;s a Wonderful Life,Bu ajoyib hayot,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,https://www.imdb.com/title/tt0038650/
The Silence of the Lambs,Qo&apos;zichoqlar sukunati,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://www.imdb.com/title/tt0102926/
Shichinin no samurai,Yetti samuray,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",https://www.imdb.com/title/tt0047478/
Saving Private Ryan,Oddiy askar Rayanni qutqarish,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",https://www.imdb.com/title/tt0120815/
The Green Mile,Yashil maskan,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,https://www.imdb.com/title/tt0120689/
Cidade de Deus,Illatlar shahri,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.",https://www.imdb.com/title/tt0317248/
La vita è bella,Hayot go&apos;zal,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",https://www.imdb.com/title/tt0118799/
Terminator 2: Judgment Day,Terminator 2: Qiyomat kuni,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",https://www.imdb.com/title/tt0103064/
Star Wars,Yulduzlar jangi: Epizod IV - Yangi umid,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",https://www.imdb.com/title/tt0076759/
Back to the Future,Kelajakka qaytib,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://www.imdb.com/title/tt0088763/
Sen to Chihiro no kamikakushi,Ruhlarda qolgan hislarim,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",https://www.imdb.com/title/tt0245429/
The Pianist,Pianinochi,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",https://www.imdb.com/title/tt0253474/
Gladiator,,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,https://www.imdb.com/title/tt0172495/
Gisaengchung,Parazitlar,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://www.imdb.com/title/tt6751668/
Psycho,Psixo,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,https://www.imdb.com/title/tt0054215/
The Lion King,Qirol Sher,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",https://www.imdb.com/title/tt0110357/
Hotaru no haka,Yaltiroq qo&apos;ng&apos;izlar qabri,A young boy and his little sister struggle to survive in Japan during World War II.,https://www.imdb.com/title/tt0095327/
The Departed,Murtadlar,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://www.imdb.com/title/tt0407887/
Whiplash,Musiqa ishtiyoqi,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,https://www.imdb.com/title/tt2582802/
Seppuku,Xarakiri,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.",https://www.imdb.com/title/tt0056058/
The Prestige,Prestij,Rival 19th-century magicians engage in a bitter battle for trade secrets.,https://www.imdb.com/title/tt0482571/
American History X,Amerika tarixi Iks,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...",https://www.imdb.com/title/tt0120586/
Léon,Leon,An Italian hit man protects a New York orphan.,https://www.imdb.com/title/tt0110413/
Spider-Man: Across the Spider-Verse,,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",https://www.imdb.com/title/tt9362722/
Casablanca,Kasablanka,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,https://www.imdb.com/title/tt0034583/
Nuovo Cinema Paradiso,Paradiso yangi kinoteatri,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",https://www.imdb.com/title/tt0095765/
The Usual Suspects,Shubhali shaxslar,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,https://www.imdb.com/title/tt0114814/
Intouchables,Qiyomatli do&apos;stlar,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",https://www.imdb.com/title/tt1675434/
Alien,Begona,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",https://www.imdb.com/title/tt0078748/
Modern Times,Yangi vaqtlar,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://www.imdb.com/title/tt0027977/
Rear Window,Deraza vo hovli,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,https://www.imdb.com/title/tt0047396/
C&apos;era una volta il West,Bir paytlar Yovvoyi G&apos;arbda,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,https://www.imdb.com/title/tt0064116/
Django Unchained,Ozod Django,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",https://www.imdb.com/title/tt1853728/
City Lights,Katta shahar chiroqlari,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://www.imdb.com/title/tt0021749/
Apocalypse Now,Bugungi Apokalipsis,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,https://www.imdb.com/title/tt0078788/
WALL·E,VALL·I,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",https://www.imdb.com/title/tt0910970/
Memento,Eslab ko&apos;r,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife&apos;s murderer.,https://www.imdb.com/title/tt0209144/
Dune: Part Two,Dyuna: Ikkinchi qism,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu...",https://www.imdb.com/title/tt15239678/
Raiders of the Lost Ark,Indiana Jons: Yo&apos;qolgan kemani qidirishda,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",https://www.imdb.com/title/tt0082971/
Avengers: Infinity War,Qasoskorlar: Abadiyat jangi,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://www.imdb.com/title/tt4154756/
Das Leben der Anderen,O&apos;zgalar hayoti,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",https://www.imdb.com/title/tt0405094/
Sunset Blvd.,Sanset bulvari,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,https://www.imdb.com/title/tt0043014/
Spider-Man: Into the Spider-Verse,O&apos;rgimchak-odam: Yondosh olamlar,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://www.imdb.com/title/tt4633694/
Witness for the Prosecution,,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,https://www.imdb.com/title/tt0051201/
Paths of Glory,Shon-sharaf yo&apos;llari,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,https://www.imdb.com/title/tt0050825/
The Shining,Porlash,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",https://www.imdb.com/title/tt0081505/
The Great Dictator,Buyuk diktator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.,https://www.imdb.com/title/tt0032553/
12th Fail,12-muvaffaqiyatsizlik,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,https://www.imdb.com/title/tt23849204/
Inglourious Basterds,Manfur kimsalar,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.",https://www.imdb.com/title/tt0361748/
Aliens,Begona 2,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",https://www.imdb.com/title/tt0090605/
The Dark Knight Rises,Qora ritsar: Afsonaning qaytishi,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",https://www.imdb.com/title/tt1345836/
Coco,Koko siri,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",https://www.imdb.com/title/tt2380307/
Amadeus,Amadey,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.",https://www.imdb.com/title/tt0086879/
Avengers: Endgame,Qasoskorlar: Intiho,"After the devastating events of Qasoskorlar: Abadiyat jangi (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.",https://www.imdb.com/title/tt4154796/
Toy Story,O&apos;yinchoqlar hikoyasi,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy&apos;s bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",https://www.imdb.com/title/tt0114709/
Good Will Hunting,Zakovatli Uill Xanting,"A therapist counsels Will Hunting, a janitor with a genius IQ.",https://www.imdb.com/title/tt0119217/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Doktor Strenjlav yoki qanday qilib qayg&apos;urishni to&apos;xtatib, atom bombasini sevishni o&apos;rganganim haqida","A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",https://www.imdb.com/title/tt0057012/
Oldeuboi,Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",https://www.imdb.com/title/tt0364569/
Tengoku to jigoku,Jannat va do&apos;zax,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.,https://www.imdb.com/title/tt0057565/
Das Boot,Suvosti kemasi,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,https://www.imdb.com/title/tt0082096/
Braveheart,Sheryurak,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,https://www.imdb.com/title/tt0112573/
American Beauty,Amerikancha go&apos;zallik,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.,https://www.imdb.com/title/tt0169547/
Kimi no na wa.,Sening isming.,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",https://www.imdb.com/title/tt5311514/
Mononoke-hime,Malika Mononoke,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her h...",https://www.imdb.com/title/tt0119698/
3 Idiots,Uch savdoyi,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.",https://www.imdb.com/title/tt1187043/
Joker,,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",https://www.imdb.com/title/tt7286456/
Capharnaüm,Kapernaum,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",https://www.imdb.com/title/tt8267604/
Once Upon a Time in America,Bir zamonlar Amerikada,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",https://www.imdb.com/title/tt0087843/
Singin&apos; in the Rain,Yomg&apos;ir ostidagi qo&apos;shiqchilar,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,https://www.imdb.com/title/tt0045152/
Idi i smotri,Kel va ko&apos;r,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",https://www.imdb.com/title/tt0091251/
Requiem for a Dream,Orzular Marsiyasi,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,https://www.imdb.com/title/tt0180093/
Star Wars: Episode VI - Return of the Jedi,Yulduzlar jangi: Epizod VI - Jedayning qaytishi,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",https://www.imdb.com/title/tt0086190/
Toy Story 3,O&apos;yinchoqlar hikoyasi 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.",https://www.imdb.com/title/tt0435761/
Jagten,Ov Daniya,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",https://www.imdb.com/title/tt2106476/
Ikiru,Yashash,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,https://www.imdb.com/title/tt0044741/
Eternal Sunshine of the Spotless Mind,Beg&apos;ubor aqlning abadiy yorug&apos;ligi,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",https://www.imdb.com/title/tt0338013/
Incendies,Yong&apos;inlar,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.,https://www.imdb.com/title/tt1255953/
The Apartment,Kvartira,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",https://www.imdb.com/title/tt0053604/
2001: A Space Odyssey,2001-yil: Kosmik odissey,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",https://www.imdb.com/title/tt0062622/
Lawrence of Arabia,Arabistonlik Lourens,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",https://www.imdb.com/title/tt0056172/
Reservoir Dogs,Quturgan itlar,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",https://www.imdb.com/title/tt0105236/
Scarface,Chandiq yuz,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",https://www.imdb.com/title/tt0086250/
Heat,To&apos;qnashuv,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,https://www.imdb.com/title/tt0113277/
Double Indemnity,Ikki tomonlama sug&apos;urta,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",https://www.imdb.com/title/tt0036775/
North by Northwest,Shimoli-g&apos;arbiy orqali shimolga,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",https://www.imdb.com/title/tt0053125/
Up,Tepaga,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",https://www.imdb.com/title/tt1049413/
M - Eine Stadt sucht einen Mörder,M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",https://www.imdb.com/title/tt0022100/
Citizen Kane,Fuqaro Keyn,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;",https://www.imdb.com/title/tt0033467/
Full Metal Jacket,To&apos;liqmetall qobiq,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,https://www.imdb.com/title/tt0093058/
Vertigo,Bosh aylanishi,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",https://www.imdb.com/title/tt0052357/
Le fabuleux destin d&apos;Amélie Poulain,Ameli,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",https://www.imdb.com/title/tt0211915/
Taare Zameen Par,Yerdagi yulduzchalar,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,https://www.imdb.com/title/tt0986264/
Jodaeiye Nader az Simin,Ayriliq,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.,https://www.imdb.com/title/tt1832382/
To Kill a Mockingbird,Mazaxchini o&apos;ldirish,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,https://www.imdb.com/title/tt0056592/
Die Hard,O&apos;tda yonmas,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",https://www.imdb.com/title/tt0095016/
Indiana Jones and the Last Crusade,Indiana Jons va oxirgi salib yurishi,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",https://www.imdb.com/title/tt0097576/
The Sting,Tovlamachilik,Two grifters team up to pull off the ultimate con.,https://www.imdb.com/title/tt0070735/
A Clockwork Orange,,Alex DeLarge and his droogs barbarize a decaying near-future.,https://www.imdb.com/title/tt0066921/
Metropolis,,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",https://www.imdb.com/title/tt0017136/
Oppenheimer,Oppengeymer,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",https://www.imdb.com/title/tt15398776/
Hababam Sinifi: Sinifta Kaldi,,A young and beautiful female teacher starts working in an all boys high school.,https://www.imdb.com/title/tt0252488/
Snatch,Katta kush,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",https://www.imdb.com/title/tt0208092/
1917,,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",https://www.imdb.com/title/tt8579674/
L.A. Confidential,Los-Anjeles sirlari,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",https://www.imdb.com/title/tt0119488/
Ladri di biciclette,Velosiped o&apos;g&apos;rilari,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",https://www.imdb.com/title/tt0040522/
